,symbol,metric,value
103,ATVI,Avg. Volume,"12,152,500"
104,ATVI,Market Cap,49.981B
105,ATVI,Beta (5Y Monthly),0.70
106,ATVI,PE Ratio (TTM),19.04
107,ATVI,EPS (TTM),3.37
108,ATVI,Earnings Date,"Feb 03, 2022"
109,ATVI,Forward Dividend & Yield,0.47 (0.71%)
110,ATVI,Ex-Dividend Date,"Apr 14, 2021"
111,ATVI,1y Target Est,92.27
112,ADBE,Previous Close,532.37
113,ADBE,Open,532.22
114,ADBE,Bid,517.58 x 800
115,ADBE,Ask,516.50 x 800
116,ADBE,Day's Range,516.32 - 535.21
117,ADBE,52 Week Range,420.78 - 699.54
118,ADBE,Volume,"3,401,932"
119,ADBE,Avg. Volume,"2,928,353"
120,ADBE,Market Cap,245.941B
121,ADBE,Beta (5Y Monthly),1.00
122,ADBE,PE Ratio (TTM),51.59
123,ADBE,EPS (TTM),10.02
124,ADBE,Earnings Date,"Mar 22, 2022"
125,ADBE,Forward Dividend & Yield,N/A (N/A)
126,ADBE,Ex-Dividend Date,"Mar 24, 2005"
127,ADBE,1y Target Est,664.36
128,AAP,Previous Close,239.88
129,AAP,Open,240.64
130,AAP,Bid,235.77 x 1800
131,AAP,Ask,236.40 x 900
132,AAP,Day's Range,234.87 - 242.15
133,AAP,52 Week Range,143.15 - 243.05
134,AAP,Volume,"810,386"
135,AAP,Avg. Volume,"631,552"
136,AAP,Market Cap,14.764B
137,AAP,Beta (5Y Monthly),1.26
138,AAP,PE Ratio (TTM),24.11
139,AAP,EPS (TTM),9.82
140,AAP,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
141,AAP,Forward Dividend & Yield,4.00 (1.67%)
142,AAP,Ex-Dividend Date,"Dec 16, 2021"
143,AAP,1y Target Est,254.69
144,AES,Previous Close,23.43
145,AES,Open,23.44
146,AES,Bid,23.20 x 3200
147,AES,Ask,23.45 x 800
148,AES,Day's Range,23.22 - 23.68
149,AES,52 Week Range,22.60 - 29.07
150,AES,Volume,"2,866,495"
151,AES,Avg. Volume,"4,603,338"
152,AES,Market Cap,15.514B
153,AES,Beta (5Y Monthly),N/A
154,AES,PE Ratio (TTM),29.99
155,AES,EPS (TTM),0.78
156,AES,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
157,AES,Forward Dividend & Yield,0.63 (2.71%)
158,AES,Ex-Dividend Date,"Jan 31, 2022"
159,AES,1y Target Est,30.55
160,AFL,Previous Close,63.34
161,AFL,Open,63.62
162,AFL,Bid,63.38 x 900
163,AFL,Ask,63.39 x 800
164,AFL,Day's Range,63.21 - 64.22
165,AFL,52 Week Range,44.76 - 64.22
166,AFL,Volume,"2,913,863"
167,AFL,Avg. Volume,"3,134,139"
168,AFL,Market Cap,41.961B
169,AFL,Beta (5Y Monthly),1.00
170,AFL,PE Ratio (TTM),10.29
171,AFL,EPS (TTM),6.17
172,AFL,Earnings Date,"Feb 02, 2022"
173,AFL,Forward Dividend & Yield,1.60 (2.53%)
174,AFL,Ex-Dividend Date,"Feb 15, 2022"
175,AFL,1y Target Est,60.55
176,A,Previous Close,149.51
177,A,Open,149.46
178,A,Bid,142.85 x 900
179,A,Ask,146.00 x 900
180,A,Day's Range,144.85 - 149.54
181,A,52 Week Range,112.47 - 179.57
182,A,Volume,"1,471,782"
183,A,Avg. Volume,"1,605,217"
184,A,Market Cap,43.841B
185,A,Beta (5Y Monthly),1.00
186,A,PE Ratio (TTM),36.85
187,A,EPS (TTM),3.94
188,A,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
189,A,Forward Dividend & Yield,0.84 (0.57%)
190,A,Ex-Dividend Date,"Jan 03, 2022"
191,A,1y Target Est,N/A
192,AIG,Previous Close,61.37
193,AIG,Open,61.79
194,AIG,Bid,61.85 x 800
195,AIG,Ask,61.79 x 800
196,AIG,Day's Range,61.45 - 62.22
197,AIG,52 Week Range,36.80 - 62.54
198,AIG,Volume,"3,423,126"
199,AIG,Avg. Volume,"4,585,538"
200,AIG,Market Cap,51.371B
201,AIG,Beta (5Y Monthly),1.39
202,AIG,PE Ratio (TTM),9.70
203,AIG,EPS (TTM),6.38
204,AIG,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
205,AIG,Forward Dividend & Yield,1.28 (2.09%)
206,AIG,Ex-Dividend Date,"Dec 15, 2021"
207,AIG,1y Target Est,64.86
208,APD,Previous Close,299.75
209,APD,Open,299.12
210,APD,Bid,294.47 x 800
211,APD,Ask,294.57 x 1400
212,APD,Day's Range,293.92 - 300.18
213,APD,52 Week Range,245.75 - 316.39
214,APD,Volume,"742,161"
215,APD,Avg. Volume,"1,002,973"
216,APD,Market Cap,65.239B
217,APD,Beta (5Y Monthly),0.81
218,APD,PE Ratio (TTM),31.19
219,APD,EPS (TTM),9.44
220,APD,Earnings Date,"Feb 04, 2022"
221,APD,Forward Dividend & Yield,6.00 (2.00%)
222,APD,Ex-Dividend Date,"Dec 31, 2021"
223,APD,1y Target Est,329.36
224,AKAM,Previous Close,114.11
225,AKAM,Open,114.24
226,AKAM,Bid,113.16 x 900
227,AKAM,Ask,113.15 x 800
228,AKAM,Day's Range,112.72 - 114.81
229,AKAM,52 Week Range,92.64 - 124.91
230,AKAM,Volume,"783,470"
231,AKAM,Avg. Volume,"1,331,400"
232,AKAM,Market Cap,18.346B
233,AKAM,Beta (5Y Monthly),0.54
234,AKAM,PE Ratio (TTM),31.01
235,AKAM,EPS (TTM),3.64
236,AKAM,Earnings Date,"Feb 15, 2022"
237,AKAM,Forward Dividend & Yield,N/A (N/A)
238,AKAM,Ex-Dividend Date,N/A
239,AKAM,1y Target Est,134.46
240,ALK,Previous Close,55.15
241,ALK,Open,55.50
242,ALK,Bid,56.52 x 800
243,ALK,Ask,56.40 x 800
244,ALK,Day's Range,55.20 - 57.60
245,ALK,52 Week Range,46.26 - 74.25
246,ALK,Volume,"1,830,431"
247,ALK,Avg. Volume,"1,887,544"
248,ALK,Market Cap,7.086B
249,ALK,Beta (5Y Monthly),1.63
250,ALK,PE Ratio (TTM),543.75
251,ALK,EPS (TTM),0.10
252,ALK,Earnings Date,"Jan 27, 2022"
253,ALK,Forward Dividend & Yield,N/A (N/A)
254,ALK,Ex-Dividend Date,"Feb 14, 2020"
255,ALK,1y Target Est,76.36
256,ALB,Previous Close,241.07
257,ALB,Open,242.96
258,ALB,Bid,235.61 x 1100
259,ALB,Ask,235.22 x 800
260,ALB,Day's Range,234.52 - 246.79
261,ALB,52 Week Range,133.82 - 291.48
262,ALB,Volume,"610,609"
263,ALB,Avg. Volume,"1,147,503"
264,ALB,Market Cap,27.516B
265,ALB,Beta (5Y Monthly),1.54
266,ALB,PE Ratio (TTM),126.06
267,ALB,EPS (TTM),1.87
268,ALB,Earnings Date,"Feb 16, 2022"
269,ALB,Forward Dividend & Yield,1.56 (0.65%)
270,ALB,Ex-Dividend Date,"Dec 16, 2021"
271,ALB,1y Target Est,261.05
272,ARE,Previous Close,209.84
273,ARE,Open,208.28
274,ARE,Bid,196.00 x 1100
275,ARE,Ask,209.21 x 800
276,ARE,Day's Range,207.90 - 210.42
277,ARE,52 Week Range,154.37 - 224.95
278,ARE,Volume,"1,287,189"
279,ARE,Avg. Volume,"701,433"
280,ARE,Market Cap,33.412B
281,ARE,Beta (5Y Monthly),0.80
282,ARE,PE Ratio (TTM),32.08
283,ARE,EPS (TTM),6.51
284,ARE,Earnings Date,"Jan 31, 2022"
285,ARE,Forward Dividend & Yield,4.60 (2.23%)
286,ARE,Ex-Dividend Date,"Dec 30, 2021"
287,ARE,1y Target Est,229.64
288,ALGN,Previous Close,548.91
289,ALGN,Open,547.45
290,ALGN,Bid,559.08 x 1000
291,ALGN,Ask,559.95 x 1000
292,ALGN,Day's Range,535.32 - 561.16
293,ALGN,52 Week Range,494.45 - 737.45
294,ALGN,Volume,"560,936"
295,ALGN,Avg. Volume,"663,950"
296,ALGN,Market Cap,44.174B
297,ALGN,Beta (5Y Monthly),1.57
298,ALGN,PE Ratio (TTM),60.38
299,ALGN,EPS (TTM),9.28
300,ALGN,Earnings Date,"Feb 02, 2022"
301,ALGN,Forward Dividend & Yield,N/A (N/A)
302,ALGN,Ex-Dividend Date,N/A
303,ALGN,1y Target Est,757.45
304,ALLE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
305,LNT,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
306,ALL,Previous Close,123.79
307,ALL,Open,124.31
308,ALL,Bid,123.95 x 800
309,ALL,Ask,124.10 x 1200
310,ALL,Day's Range,123.87 - 125.44
311,ALL,52 Week Range,102.55 - 140.00
312,ALL,Volume,"1,281,825"
313,ALL,Avg. Volume,"2,112,103"
314,ALL,Market Cap,35.594B
315,ALL,Beta (5Y Monthly),0.85
316,ALL,PE Ratio (TTM),11.46
317,ALL,EPS (TTM),10.83
318,ALL,Earnings Date,"Feb 02, 2022"
319,ALL,Forward Dividend & Yield,3.24 (2.62%)
320,ALL,Ex-Dividend Date,"Nov 29, 2021"
321,ALL,1y Target Est,131.57
322,GOOGL,Previous Close,"2,828.61"
323,GOOGL,Open,"2,830.80"
324,GOOGL,Bid,"2,766.40 x 800"
325,GOOGL,Ask,"2,771.74 x 1100"
326,GOOGL,Day's Range,"2,768.18 - 2,857.00"
327,GOOGL,52 Week Range,"1,711.71 - 3,019.33"
328,GOOGL,Volume,"1,519,457"
329,GOOGL,Avg. Volume,"1,553,836"
330,GOOGL,Market Cap,1.841T
331,GOOGL,Beta (5Y Monthly),1.06
332,GOOGL,PE Ratio (TTM),26.70
333,GOOGL,EPS (TTM),103.81
334,GOOGL,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
335,GOOGL,Forward Dividend & Yield,N/A (N/A)
336,GOOGL,Ex-Dividend Date,N/A
337,GOOGL,1y Target Est,"3,334.16"
338,GOOG,Previous Close,"2,832.96"
339,GOOG,Open,"2,836.81"
340,GOOG,Bid,"2,780.10 x 1000"
341,GOOG,Ask,"2,782.80 x 1400"
342,GOOG,Day's Range,"2,778.61 - 2,863.71"
343,GOOG,52 Week Range,"1,721.55 - 3,037.00"
344,GOOG,Volume,"1,249,838"
345,GOOG,Avg. Volume,"1,150,617"
346,GOOG,Market Cap,1.846T
347,GOOG,Beta (5Y Monthly),1.06
348,GOOG,PE Ratio (TTM),26.81
349,GOOG,EPS (TTM),103.81
350,GOOG,Earnings Date,N/A
351,GOOG,Forward Dividend & Yield,N/A (N/A)
352,GOOG,Ex-Dividend Date,N/A
353,GOOG,1y Target Est,"3,366.67"
354,MO,Previous Close,49.49
355,MO,Open,49.61
356,MO,Bid,50.26 x 1300
357,MO,Ask,50.27 x 3200
358,MO,Day's Range,49.53 - 50.42
359,MO,52 Week Range,40.46 - 52.59
360,MO,Volume,"9,005,264"
361,MO,Avg. Volume,"8,306,865"
362,MO,Market Cap,92.419B
363,MO,Beta (5Y Monthly),0.70
364,MO,PE Ratio (TTM),33.67
365,MO,EPS (TTM),1.49
366,MO,Earnings Date,"Jan 27, 2022"
367,MO,Forward Dividend & Yield,3.60 (7.28%)
368,MO,Ex-Dividend Date,"Dec 22, 2021"
369,MO,1y Target Est,53.08
370,AMZN,Previous Close,"3,304.14"
371,AMZN,Open,"3,305.01"
372,AMZN,Bid,"3,223.20 x 800"
373,AMZN,Ask,"3,226.90 x 1400"
374,AMZN,Day's Range,"3,221.82 - 3,324.43"
375,AMZN,52 Week Range,"2,881.00 - 3,773.08"
376,AMZN,Volume,"2,598,858"
377,AMZN,Avg. Volume,"3,251,715"
378,AMZN,Market Cap,1.635T
379,AMZN,Beta (5Y Monthly),1.10
380,AMZN,PE Ratio (TTM),63.10
381,AMZN,EPS (TTM),51.10
382,AMZN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
383,AMZN,Forward Dividend & Yield,N/A (N/A)
384,AMZN,Ex-Dividend Date,N/A
385,AMZN,1y Target Est,"4,108.80"
386,AMCR,Previous Close,12.12
387,AMCR,Open,12.18
388,AMCR,Bid,12.12 x 1800
389,AMCR,Ask,12.25 x 1100
390,AMCR,Day's Range,12.02 - 12.20
391,AMCR,52 Week Range,10.33 - 12.92
392,AMCR,Volume,"5,170,585"
393,AMCR,Avg. Volume,"5,863,725"
394,AMCR,Market Cap,18.628B
395,AMCR,Beta (5Y Monthly),0.43
396,AMCR,PE Ratio (TTM),20.02
397,AMCR,EPS (TTM),0.61
398,AMCR,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
399,AMCR,Forward Dividend & Yield,0.48 (4.00%)
400,AMCR,Ex-Dividend Date,"Nov 23, 2021"
401,AMCR,1y Target Est,12.80
402,AMD,Previous Close,137.47
403,AMD,Open,139.44
404,AMD,Bid,132.41 x 1200
405,AMD,Ask,131.98 x 900
406,AMD,Day's Range,131.81 - 141.25
407,AMD,52 Week Range,72.50 - 164.46
408,AMD,Volume,"76,482,134"
409,AMD,Avg. Volume,"58,597,279"
410,AMD,Market Cap,160.298B
411,AMD,Beta (5Y Monthly),1.87
412,AMD,PE Ratio (TTM),40.94
413,AMD,EPS (TTM),3.24
414,AMD,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
415,AMD,Forward Dividend & Yield,N/A (N/A)
416,AMD,Ex-Dividend Date,"Apr 27, 1995"
417,AMD,1y Target Est,143.63
418,AEE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
419,AAL,Previous Close,18.50
420,AAL,Open,18.73
421,AAL,Bid,19.34 x 1300
422,AAL,Ask,19.35 x 2900
423,AAL,Day's Range,18.63 - 19.76
424,AAL,52 Week Range,15.02 - 26.09
425,AAL,Volume,"55,600,879"
426,AAL,Avg. Volume,"34,828,819"
427,AAL,Market Cap,12.523B
428,AAL,Beta (5Y Monthly),1.66
429,AAL,PE Ratio (TTM),N/A
430,AAL,EPS (TTM),-5.18
431,AAL,Earnings Date,"Jan 20, 2022"
432,AAL,Forward Dividend & Yield,N/A (N/A)
433,AAL,Ex-Dividend Date,"Feb 04, 2020"
434,AAL,1y Target Est,19.00
435,AEP,Previous Close,90.29
436,AEP,Open,90.26
437,AEP,Bid,90.86 x 1100
438,AEP,Ask,90.78 x 1400
439,AEP,Day's Range,89.91 - 91.58
440,AEP,52 Week Range,74.80 - 91.58
441,AEP,Volume,"2,824,391"
442,AEP,Avg. Volume,"2,606,060"
443,AEP,Market Cap,45.102B
444,AEP,Beta (5Y Monthly),0.36
445,AEP,PE Ratio (TTM),19.08
446,AEP,EPS (TTM),4.76
447,AEP,Earnings Date,"Feb 24, 2022"
448,AEP,Forward Dividend & Yield,3.12 (3.48%)
449,AEP,Ex-Dividend Date,"Nov 09, 2021"
450,AEP,1y Target Est,97.91
451,AXP,Previous Close,174.47
452,AXP,Open,174.92
453,AXP,Bid,173.27 x 800
454,AXP,Ask,173.33 x 1100
455,AXP,Day's Range,172.85 - 176.38
456,AXP,52 Week Range,112.10 - 189.03
457,AXP,Volume,"3,300,839"
458,AXP,Avg. Volume,"3,744,347"
459,AXP,Market Cap,134.223B
460,AXP,Beta (5Y Monthly),1.24
461,AXP,PE Ratio (TTM),18.10
462,AXP,EPS (TTM),9.57
463,AXP,Earnings Date,"Jan 25, 2022"
464,AXP,Forward Dividend & Yield,1.72 (0.98%)
465,AXP,Ex-Dividend Date,"Jan 06, 2022"
466,AXP,1y Target Est,192.87
467,AMT,Previous Close,264.89
468,AMT,Open,264.03
469,AMT,Bid,261.00 x 900
470,AMT,Ask,268.00 x 900
471,AMT,Day's Range,261.00 - 269.24
472,AMT,52 Week Range,197.50 - 303.72
473,AMT,Volume,"2,244,354"
474,AMT,Avg. Volume,"1,740,680"
475,AMT,Market Cap,121.404B
476,AMT,Beta (5Y Monthly),0.37
477,AMT,PE Ratio (TTM),48.41
478,AMT,EPS (TTM),5.51
479,AMT,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
480,AMT,Forward Dividend & Yield,5.56 (2.09%)
481,AMT,Ex-Dividend Date,"Dec 23, 2021"
482,AMT,1y Target Est,304.40
483,AWK,Previous Close,169.18
484,AWK,Open,169.14
485,AWK,Bid,167.83 x 800
486,AWK,Ask,167.88 x 800
487,AWK,Day's Range,167.53 - 170.33
488,AWK,52 Week Range,131.01 - 189.65
489,AWK,Volume,"736,358"
490,AWK,Avg. Volume,"731,031"
491,AWK,Market Cap,30.515B
492,AWK,Beta (5Y Monthly),0.31
493,AWK,PE Ratio (TTM),40.04
494,AWK,EPS (TTM),4.20
495,AWK,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
496,AWK,Forward Dividend & Yield,2.41 (1.42%)
497,AWK,Ex-Dividend Date,"Feb 07, 2022"
498,AWK,1y Target Est,176.08
499,AMP,Previous Close,314.94
500,AMP,Open,317.70
501,AMP,Bid,295.00 x 800
502,AMP,Ask,347.57 x 800
503,AMP,Day's Range,314.06 - 320.08
504,AMP,52 Week Range,196.77 - 323.35
505,AMP,Volume,"453,108"
506,AMP,Avg. Volume,"538,230"
507,AMP,Market Cap,35.715B
508,AMP,Beta (5Y Monthly),1.61
509,AMP,PE Ratio (TTM),17.35
510,AMP,EPS (TTM),18.40
511,AMP,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
512,AMP,Forward Dividend & Yield,4.52 (1.44%)
513,AMP,Ex-Dividend Date,"Nov 05, 2021"
514,AMP,1y Target Est,339.33
515,ABC,Previous Close,130.45
516,ABC,Open,131.11
517,ABC,Bid,0.00 x 1000
518,ABC,Ask,0.00 x 800
519,ABC,Day's Range,128.90 - 133.48
520,ABC,52 Week Range,100.71 - 135.26
521,ABC,Volume,"1,106,632"
522,ABC,Avg. Volume,"889,046"
523,ABC,Market Cap,27.707B
524,ABC,Beta (5Y Monthly),0.51
525,ABC,PE Ratio (TTM),18.01
526,ABC,EPS (TTM),7.39
527,ABC,Earnings Date,"Feb 02, 2022"
528,ABC,Forward Dividend & Yield,1.84 (1.38%)
529,ABC,Ex-Dividend Date,"Nov 12, 2021"
530,ABC,1y Target Est,146.92
531,AME,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
532,AMGN,Previous Close,231.76
533,AMGN,Open,232.05
534,AMGN,Bid,230.85 x 1100
535,AMGN,Ask,233.00 x 1100
536,AMGN,Day's Range,230.33 - 233.20
537,AMGN,52 Week Range,198.64 - 276.69
538,AMGN,Volume,"2,088,166"
539,AMGN,Avg. Volume,"2,806,642"
540,AMGN,Market Cap,130.03B
541,AMGN,Beta (5Y Monthly),0.64
542,AMGN,PE Ratio (TTM),23.80
543,AMGN,EPS (TTM),9.70
544,AMGN,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
545,AMGN,Forward Dividend & Yield,7.76 (3.34%)
546,AMGN,Ex-Dividend Date,"Feb 14, 2022"
547,AMGN,1y Target Est,239.96
548,APH,Previous Close,87.46
549,APH,Open,87.80
550,APH,Bid,86.96 x 1100
551,APH,Ask,86.96 x 800
552,APH,Day's Range,86.43 - 88.00
553,APH,52 Week Range,58.58 - 88.45
554,APH,Volume,"1,003,284"
555,APH,Avg. Volume,"1,909,468"
556,APH,Market Cap,51.873B
557,APH,Beta (5Y Monthly),1.24
558,APH,PE Ratio (TTM),36.45
559,APH,EPS (TTM),2.38
560,APH,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
561,APH,Forward Dividend & Yield,0.80 (0.91%)
562,APH,Ex-Dividend Date,"Dec 20, 2021"
563,APH,1y Target Est,85.64
564,ADI,Previous Close,173.75
565,ADI,Open,175.61
566,ADI,Bid,169.78 x 800
567,ADI,Ask,170.50 x 800
568,ADI,Day's Range,169.24 - 176.27
569,ADI,52 Week Range,142.25 - 191.95
570,ADI,Volume,"3,514,487"
571,ADI,Avg. Volume,"3,305,569"
572,ADI,Market Cap,89.191B
573,ADI,Beta (5Y Monthly),1.11
574,ADI,PE Ratio (TTM),49.07
575,ADI,EPS (TTM),3.46
576,ADI,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
577,ADI,Forward Dividend & Yield,2.76 (1.59%)
578,ADI,Ex-Dividend Date,"Dec 02, 2021"
579,ADI,1y Target Est,207.56
580,ANSS,Previous Close,403.59
581,ANSS,Open,404.68
582,ANSS,Bid,405.29 x 800
583,ANSS,Ask,406.00 x 1100
584,ANSS,Day's Range,402.83 - 407.46
585,ANSS,52 Week Range,292.79 - 413.89
586,ANSS,Volume,"35,456"
587,ANSS,Avg. Volume,"349,017"
588,ANSS,Market Cap,35.52B
589,ANSS,Beta (5Y Monthly),1.24
590,ANSS,PE Ratio (TTM),76.55
591,ANSS,EPS (TTM),5.32
592,ANSS,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
593,ANSS,Forward Dividend & Yield,N/A (N/A)
594,ANSS,Ex-Dividend Date,N/A
595,ANSS,1y Target Est,416.69
596,ANTM,Previous Close,451.83
597,ANTM,Open,449.93
598,ANTM,Bid,444.00 x 800
599,ANTM,Ask,447.51 x 1300
600,ANTM,Day's Range,444.55 - 451.88
601,ANTM,52 Week Range,286.04 - 470.02
602,ANTM,Volume,"601,546"
603,ANTM,Avg. Volume,"1,083,842"
604,ANTM,Market Cap,108.452B
605,ANTM,Beta (5Y Monthly),1.07
606,ANTM,PE Ratio (TTM),20.10
607,ANTM,EPS (TTM),22.23
608,ANTM,Earnings Date,"Jan 26, 2022"
609,ANTM,Forward Dividend & Yield,4.52 (1.00%)
610,ANTM,Ex-Dividend Date,"Dec 02, 2021"
611,ANTM,1y Target Est,483.87
612,AON,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
613,APA,Previous Close,32.65
614,APA,Open,32.66
615,APA,Bid,32.09 x 1200
616,APA,Ask,32.44 x 800
617,APA,Day's Range,31.94 - 33.31
618,APA,52 Week Range,14.03 - 33.31
619,APA,Volume,"8,107,043"
620,APA,Avg. Volume,"9,585,679"
621,APA,Market Cap,11.657B
622,APA,Beta (5Y Monthly),4.73
623,APA,PE Ratio (TTM),20.52
624,APA,EPS (TTM),1.56
625,APA,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
626,APA,Forward Dividend & Yield,0.50 (1.56%)
627,APA,Ex-Dividend Date,"Jan 20, 2022"
628,APA,1y Target Est,35.59
629,AAPL,Previous Close,175.53
630,AAPL,Open,175.78
631,AAPL,Bid,172.09 x 800
632,AAPL,Ask,172.29 x 800
633,AAPL,Day's Range,171.79 - 176.62
634,AAPL,52 Week Range,116.21 - 182.94
635,AAPL,Volume,"81,572,060"
636,AAPL,Avg. Volume,"91,203,723"
637,AAPL,Market Cap,2.813T
638,AAPL,Beta (5Y Monthly),1.20
639,AAPL,PE Ratio (TTM),30.69
640,AAPL,EPS (TTM),5.61
641,AAPL,Earnings Date,"Jan 27, 2022"
642,AAPL,Forward Dividend & Yield,0.88 (0.50%)
643,AAPL,Ex-Dividend Date,"Nov 05, 2021"
644,AAPL,1y Target Est,177.31
645,AMAT,Previous Close,159.55
646,AMAT,Open,164.00
647,AMAT,Bid,156.51 x 900
648,AMAT,Ask,157.25 x 1000
649,AMAT,Day's Range,156.50 - 166.53
650,AMAT,52 Week Range,96.07 - 166.53
651,AMAT,Volume,"12,545,218"
652,AMAT,Avg. Volume,"6,997,717"
653,AMAT,Market Cap,139.656B
654,AMAT,Beta (5Y Monthly),1.38
655,AMAT,PE Ratio (TTM),24.56
656,AMAT,EPS (TTM),6.40
657,AMAT,Earnings Date,"Feb 16, 2022"
658,AMAT,Forward Dividend & Yield,0.96 (0.63%)
